Phases, Energies, charges
150.0, 0, 5.23246669769
160.526315789, 0, 7.1882276535
171.052631579, 0, 6.44267940521
181.578947368, 0, 6.09418201447
192.105263158, 4878.60980169, 42.9669494629
202.631578947, 4948.81582299, 65.964263916
213.157894737, 5035.77398301, 84.2875671387
223.684210526, 5081.08471675, 93.7327728271
234.210526316, 5082.90269235, 93.2028656006
244.736842105, 4848.63765962, 110.288078308
255.263157895, 4658.35627806, 112.090644836
265.789473684, 4871.575848, 117.04940033
276.315789474, 29579.3104638, 115.50151062
286.842105263, 3264.97425333, 81.608581543
297.368421053, 5373.9570764, 46.2941093445
307.894736842, 0, 5.00215053558
318.421052632, 0, 1.64090490341
328.947368421, 0, 6.25416612625
339.473684211, 0, 2.10141968727
350.0, 0, 2.69113945961
